country,happiness_rank,happiness_score,upper_confidence_interval,lower_confidence_interval,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,dystopia_residual,logged_gdp_per_capita,region
Nigeria,95.0,5.07399988174438,5.20950013548136,4.93849962800741,1.21577048301697,4.398447632789611,0.394952565431595,0.230947196483612,0.0261215660721064,2.36539053916931,6.66537316778779,Sub-Saharan Africa
Tajikistan,96.0,5.04099988937378,5.11142559587956,4.970574182868,1.27146327495575,40.89929042816165,0.471566706895828,0.248997643589973,0.146377146244049,1.84904932975769,6.264756645180944,Commonwealth of Independent States
Bhutan,97.0,5.01100015640259,5.07933456212282,4.94266575068235,1.34012651443481,38.32155172348021,0.501537680625916,0.474054545164108,0.173380389809608,1.14018440246582,6.787186804666482,
Kyrgyzstan,98.0,5.00400018692017,5.08991990312934,4.91808047071099,1.39423859119415,42.77121851921083,0.454943388700485,0.42858037352562,0.0394391790032387,1.53672313690186,6.392285682119649,Commonwealth of Independent States
Nepal,99.0,4.96199989318848,5.06735607936978,4.85664370700717,1.17928326129913,38.95922673225404,0.440305948257446,0.394096165895462,0.0729755461215973,1.8912410736084,6.17549337872062,South Asia
Mongolia,100.0,4.95499992370605,5.0216795091331,4.88832033827901,1.4930112361908,43.10550767898557,0.394143968820572,0.338464230298996,0.0329022891819477,1.11129236221313,6.935599860935783,East Asia
South Africa,101.0,4.8289999961853,4.92943518772721,4.72856480464339,1.38478863239288,14.457547838687884,0.479246735572815,0.139362379908562,0.0725094974040985,1.51090860366821,6.961958106958353,Sub-Saharan Africa
Tunisia,102.0,4.80499982833862,4.88436700701714,4.72563264966011,0.868351459503174,47.389027147293106,0.289680689573288,0.0496933571994305,0.0867231488227844,1.89025115966797,6.915987110494589,Middle East and North Africa
State of Palestine,103.0,4.77500009536743,4.88184834256768,4.66815184816718,1.15564715862274,43.71474371910097,0.25471106171608,0.114173173904419,0.0892826020717621,1.8788902759552,6.575423377863758,Middle East and North Africa
Egypt,104.0,4.7350001335144,4.82513378962874,4.64486647740006,0.997471392154694,40.20007135391236,0.282110154628754,0.128631442785263,0.114381365478039,1.70216107368469,6.89841358844379,Middle East and North Africa
Bulgaria,105.0,4.71400022506714,4.80369470641017,4.62430574372411,1.43437945842743,54.73106234550475,0.289231717586517,0.113177694380283,0.0110515309497714,0.996139287948608,7.0582929440039495,Central and Eastern Europe
Sierra Leone,106.0,4.70900011062622,4.85064333498478,4.56735688626766,0.984136044979095,0.43004418119788035,0.318697690963745,0.293040901422501,0.0710951760411263,2.66845989227295,5.911936722133883,Sub-Saharan Africa
Cameroon,107.0,4.69500017166138,4.79654085725546,4.5934594860673,0.946018218994141,10.269902794361137,0.430388748645782,0.236298456788063,0.0513066314160824,2.3336455821991,6.337366054323635,Sub-Saharan Africa
Iran,108.0,4.69199991226196,4.79822470769286,4.58577511683106,0.711551249027252,49.40766880989075,0.249322608113289,0.387242913246155,0.048761073499918,1.49873495101929,7.054340072643765,Middle East and North Africa
Albania,109.0,4.64400005340576,4.75246400639415,4.53553610041738,0.803685247898102,56.504025220870965,0.381498634815216,0.201312944293022,0.0398642159998417,1.49044156074524,6.904944084590278,Central and Eastern Europe
Bangladesh,110.0,4.60799980163574,4.68982165828347,4.52617794498801,0.735131740570068,41.208867073059075,0.478356659412384,0.172255352139473,0.123717859387398,1.97873616218567,6.376187644834552,South Asia
Namibia,111.0,4.57399988174438,4.77035474091768,4.37764502257109,1.0984708070755,26.16792078495027,0.520303547382355,0.0771337449550629,0.0931469723582268,1.4818902015686,6.872578078524519,Sub-Saharan Africa
Kenya,112.0,4.55299997329712,4.65569159060717,4.45030835598707,1.06795072555542,23.95589966297148,0.452763766050339,0.444860309362411,0.0646413192152977,1.6519021987915,6.330575196745098,Sub-Saharan Africa
Mozambique,113.0,4.55000019073486,4.77410232633352,4.3258980551362,0.870701014995575,8.242254767417872,0.480791091918945,0.322228103876114,0.179436385631561,2.35565090179443,5.460885307326906,Sub-Saharan Africa
Myanmar,114.0,4.54500007629395,4.61473994642496,4.47526020616293,1.12323594093323,30.7205441093445,0.514492034912109,0.838075160980225,0.188816204667091,1.11529040336609,5.908383301760692,Southeast Asia
Senegal,115.0,4.53499984741211,4.6016037812829,4.46839591354132,1.17969191074371,31.635561246871966,0.377922266721725,0.183468893170357,0.115460447967052,1.78964614868164,6.174429693475823,Sub-Saharan Africa
Zambia,116.0,4.51399993896484,4.64410550147295,4.38389437645674,1.00318729877472,19.92555795192716,0.461603492498398,0.249580144882202,0.0782135501503944,1.82670545578003,6.457408037774254,Sub-Saharan Africa
Iraq,117.0,4.49700021743774,4.62259140968323,4.37140902519226,0.978613197803497,38.73122672080997,0.288555532693863,0.19963726401329,0.107215754687786,1.31890726089478,7.006432951013108,Middle East and North Africa
Gabon,118.0,4.46500015258789,4.5573617656529,4.37263853952289,1.1556202173233,27.556393318176287,0.312328577041626,0.0437853783369064,0.0760467872023582,1.32291626930237,7.089418485286291,Sub-Saharan Africa
Ethiopia,119.0,4.46000003814697,4.54272867664695,4.377271399647,0.86466920375824,27.311502199172967,0.408842742443085,0.312650740146637,0.165455713868141,2.01574373245239,5.829633161998374,Sub-Saharan Africa
Sri Lanka,120.0,4.44000005722046,4.55344719231129,4.32655292212963,1.25997638702393,48.31011071205139,0.561213254928589,0.490863561630249,0.0736539661884308,0.419389247894287,6.91854698289684,South Asia
Armenia,121.0,4.37599992752075,4.46673461228609,4.28526524275541,1.00748372077942,49.267887639999394,0.198303267359734,0.0834880918264389,0.0266744215041399,1.5214991569519,6.8041673445531305,Commonwealth of Independent States
India,122.0,4.31500005722046,4.37152201749384,4.25847809694707,0.754372596740723,35.195446228981055,0.469987004995346,0.231538489460945,0.0922268852591515,1.5191171169281,6.676102184171209,South Asia
Mauritania,123.0,4.29199981689453,4.37716361626983,4.20683601751924,1.2720308303833,22.051792330741876,0.0960980430245399,0.201870024204254,0.136957004666328,1.65163731575012,6.476137073735986,Sub-Saharan Africa
Congo (Brazzaville),124.0,4.29099988937378,4.41005350500345,4.17194627374411,0.832044363021851,22.407910494804373,0.435025870800018,0.120852127671242,0.0796181336045265,1.72413563728333,6.696990113941895,Sub-Saharan Africa
Georgia,125.0,4.28599977493286,4.37493396580219,4.19706558406353,0.57061493396759,50.19699068069457,0.309410035610199,0.0540088154375553,0.251666635274887,1.50013780593872,6.858158086686944,Commonwealth of Independent States
Congo (Kinshasa),126.0,4.28000020980835,4.35781083270907,4.20218958690763,1.22902345657349,14.79193488121032,0.235961347818375,0.246455833315849,0.0602413564920425,2.22495865821838,4.533699412799086,
Mali,127.0,4.19000005722046,4.26967071101069,4.11032940343022,1.28147339820862,13.088579306602444,0.306613743305206,0.183354198932648,0.104970246553421,1.66819095611572,6.167894813092484,Sub-Saharan Africa
Ivory Coast,128.0,4.17999982833862,4.27518256321549,4.08481709346175,0.904780030250549,3.759066873192789,0.447706192731857,0.201237469911575,0.130061775445938,1.84496426582336,6.403655189077806,Sub-Saharan Africa
Cambodia,129.0,4.16800022125244,4.27851781353354,4.05748262897134,1.00623834133148,33.21366145133975,0.633375823497772,0.385922968387604,0.0681059509515762,1.04294109344482,6.40152756226833,Southeast Asia
Sudan,130.0,4.13899993896484,4.34574716508389,3.9322527128458,1.21400856971741,22.482361264228842,0.0149958552792668,0.182317450642586,0.089847519993782,1.68706583976746,6.493022395651466,
Ghana,131.0,4.11999988555908,4.22270720854402,4.01729256257415,0.873664736747742,22.846883525848355,0.423026293516159,0.256923943758011,0.0253363698720932,1.57786750793457,6.504624680427656,Sub-Saharan Africa
