country,happiness_score,standard_error_of_happiness_score,upper_confidence_interval,lower_confidence_interval,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,explained_by:_log_gdp_per_capita,explained_by:_social_support,explained_by:_healthy_life_expectancy,explained_by:_freedom_to_make_life_choices,explained_by:_generosity,explained_by:_perceptions_of_corruption,dystopia_residual,happiness_rank
Nigeria,4.981,0.08,5.141,4.821,8.496,0.74,54.891,0.718,0.073,0.911,1.778,1.065,1.007,0.092,0.448,0.176,0.013,2.181,95.0
Cameroon,4.973,0.071,5.115,4.8309999999999995,8.217,0.686,55.847,0.686,0.015,0.846,1.778,0.965,0.871,0.118,0.405,0.144,0.059,2.411,96.0
Mozambique,4.954,0.116,5.186,4.7219999999999995,7.116,0.692,51.53,0.851,0.047,0.66,1.778,0.57,0.885,0.0,0.625,0.161,0.192,2.519,97.0
Iraq,4.941,0.081,5.103,4.779,9.098,0.718,63.415,0.646,-0.005,0.876,1.778,1.281,0.953,0.324,0.351,0.134,0.038,1.861,98.0
State of Palestine,4.908,0.092,5.0920000000000005,4.724,8.716,0.859,,0.694,-0.132,0.836,1.778,1.144,1.309,,0.416,0.065,0.067,,99.0
Morocco,4.903,0.061,5.0249999999999995,4.781,8.973,0.553,63.901,0.787,-0.231,0.811,1.778,1.236,0.535,0.337,0.54,0.013,0.085,2.158,100.0
Iran,4.876,0.053,4.982,4.7700000000000005,9.61,0.778,66.6,0.593,0.173,0.747,1.778,1.465,1.102,0.411,0.281,0.229,0.13,1.259,101.0
Senegal,4.855,0.065,4.985,4.7250000000000005,8.155,0.629,59.999,0.772,0.011,0.846,1.778,0.943,0.727,0.231,0.519,0.142,0.06,2.234,102.0
Mauritania,4.724,0.147,5.018,4.430000000000001,8.591,0.644,60.475,0.622,-0.013,0.657,1.778,1.099,0.764,0.244,0.32,0.13,0.195,1.973,103.0
Burkina Faso,4.638,0.093,4.824,4.452,7.667,0.663,55.461,0.696,0.095,0.771,1.778,0.768,0.814,0.107,0.419,0.188,0.113,2.23,104.0
Namibia,4.631,0.069,4.769,4.493,9.121,0.787,56.851,0.669,-0.126,0.83,1.778,1.289,1.126,0.145,0.383,0.069,0.071,1.549,105.0
Turkiye,4.614,0.083,4.78,4.4479999999999995,10.307,0.796,68.663,0.475,-0.077,0.795,1.778,1.714,1.148,0.467,0.125,0.095,0.096,0.969,106.0
Ghana,4.605,0.063,4.731000000000001,4.479,8.596,0.641,58.763,0.777,0.139,0.881,1.778,1.101,0.756,0.197,0.526,0.211,0.035,1.779,107.0
Pakistan,4.555,0.077,4.709,4.401,8.54,0.601,57.313,0.766,0.008,0.787,1.778,1.081,0.657,0.158,0.511,0.141,0.102,1.907,108.0
Niger,4.501,0.108,4.7170000000000005,4.285,7.091,0.59,56.55,0.788,0.032,0.734,1.778,0.561,0.628,0.137,0.54,0.154,0.14,2.341,109.0
Tunisia,4.497,0.053,4.603,4.391,9.244,0.73,67.0,0.576,-0.213,0.907,1.778,1.333,0.981,0.422,0.259,0.022,0.016,1.463,110.0
Kenya,4.487,0.066,4.619,4.355,8.458,0.69,58.499,0.696,0.288,0.852,1.778,1.051,0.881,0.19,0.418,0.291,0.055,1.601,111.0
Sri Lanka,4.442,0.083,4.6080000000000005,4.276,9.491,0.826,67.15,0.787,-0.03,0.808,1.778,1.422,1.224,0.426,0.539,0.12,0.086,0.625,112.0
Uganda,4.432,0.089,4.61,4.2540000000000004,7.716,0.794,58.913,0.701,0.114,0.857,1.778,0.785,1.144,0.201,0.425,0.197,0.051,1.628,113.0
Chad,4.397,0.121,4.639,4.155,7.261,0.722,53.125,0.677,0.221,0.807,1.778,0.622,0.962,0.043,0.393,0.255,0.088,2.034,114.0
Cambodia,4.393,0.059,4.511,4.2749999999999995,8.385,0.747,61.9,0.958,0.073,0.857,1.778,1.025,1.024,0.283,0.768,0.176,0.051,1.068,115.0
Benin,4.374,0.066,4.505999999999999,4.242,8.103,0.437,56.095,0.743,-0.043,0.576,1.778,0.924,0.242,0.124,0.481,0.114,0.253,2.235,116.0
Myanmar,4.372,0.082,4.536,4.208,8.404,0.787,61.388,0.727,0.491,0.658,1.778,1.032,1.125,0.269,0.46,0.4,0.194,0.893,117.0
Bangladesh,4.282,0.068,4.418,4.146,8.685,0.544,64.548,0.845,0.005,0.698,1.778,1.133,0.513,0.355,0.617,0.139,0.165,1.361,118.0
Gambia,4.279,0.105,4.489,4.069,7.648,0.584,57.9,0.596,0.364,0.883,1.778,0.761,0.614,0.174,0.286,0.332,0.033,2.081,119.0
Mali,4.198,0.062,4.322,4.074000000000001,7.655,0.593,55.403,0.713,-0.028,0.846,1.778,0.763,0.637,0.106,0.441,0.121,0.059,2.07,120.0
Egypt,4.17,0.059,4.288,4.052,9.367,0.726,63.503,0.732,-0.183,0.58,1.778,1.377,0.972,0.326,0.467,0.038,0.25,0.74,121.0
Togo,4.137,0.077,4.2909999999999995,3.9829999999999997,7.673,0.595,57.449,0.657,0.024,0.74,1.778,0.77,0.642,0.161,0.367,0.149,0.136,1.913,122.0
Jordan,4.12,0.062,4.244,3.996,9.13,0.729,67.6,0.77,-0.15,0.687,1.778,1.292,0.98,0.438,0.517,0.056,0.173,0.663,123.0
Ethiopia,4.091,0.093,4.277,3.9050000000000002,7.739,0.782,60.698,0.72,0.273,0.789,1.778,0.793,1.114,0.25,0.451,0.283,0.101,1.099,124.0
Liberia,4.042,0.144,4.33,3.754,7.277,0.596,56.7,0.735,0.154,0.83,1.778,0.628,0.644,0.141,0.471,0.219,0.071,1.869,125.0
India,4.036,0.029,4.093999999999999,3.9779999999999998,8.759,0.608,60.777,0.897,0.072,0.774,1.778,1.159,0.674,0.252,0.685,0.175,0.111,0.979,126.0
Madagascar,4.019,0.092,4.203,3.835,7.29,0.65,58.05,0.522,0.075,0.742,1.778,0.632,0.779,0.178,0.187,0.177,0.134,1.932,127.0
Zambia,3.982,0.094,4.17,3.794,8.074,0.694,55.032,0.791,0.098,0.818,1.778,0.914,0.89,0.095,0.545,0.189,0.08,1.27,128.0
Tanzania,3.694,0.075,3.844,3.544,7.857,0.653,59.401,0.838,0.182,0.554,1.778,0.836,0.787,0.214,0.607,0.234,0.269,0.747,129.0
Comoros,3.545,0.117,3.779,3.311,8.075,0.471,59.425,0.47,-0.014,0.727,1.778,0.914,0.327,0.215,0.117,0.129,0.145,1.699,130.0
Malawi,3.495,0.09,3.6750000000000003,3.315,7.302,0.531,58.475,0.75,0.005,0.749,1.778,0.637,0.479,0.189,0.49,0.139,0.129,1.432,131.0
Botswana,3.435,0.136,3.707,3.1630000000000003,9.629,0.753,54.725,0.742,-0.215,0.83,1.778,1.471,1.041,0.087,0.48,0.021,0.071,0.264,132.0
Congo (Kinshasa),3.207,0.095,3.397,3.017,7.007,0.652,55.375,0.664,0.086,0.834,1.778,0.531,0.784,0.105,0.375,0.183,0.068,1.162,133.0
Zimbabwe,3.204,0.061,3.326,3.0820000000000003,7.641,0.69,54.05,0.654,-0.046,0.766,1.778,0.758,0.881,0.069,0.363,0.112,0.117,0.905,134.0
Sierra Leone,3.138,0.082,3.302,2.9739999999999998,7.394,0.555,54.9,0.66,0.105,0.858,1.778,0.67,0.54,0.092,0.371,0.193,0.051,1.221,135.0
Lebanon,2.392,0.044,2.48,2.304,9.478,0.53,66.149,0.474,-0.141,0.891,1.778,1.417,0.476,0.398,0.123,0.061,0.027,-0.11,136.0
Afghanistan,1.859,0.033,1.925,1.793,7.324,0.341,54.712,0.382,-0.081,0.847,1.778,0.645,0.0,0.087,0.0,0.093,0.059,0.976,137.0
